Method Name,Count
checkControlCourseUid,1
$fireOnResponseReceived,50
$debug,87
Exception,70
logSecurityViolation_Method,119
$calcLetterSize,7
logSecurityViolation,21
toEnum,937
lock,5
parseMentalMath,1
parseRating,1
programActiveStudent,1
extendProgram,1
doAdfServletRequest,27
SSL_read,10
$addAlertFlag,18
getResponseDocument,10
newTimeoutException,4
$run,26
$assertState,15
calcStartLevelForm,16
closeAssessmentSuite,9
closeAssessSuite,9
checkControlSchoolUid,8
logon,12
setValue,6
Throwable,12
logonEmailToken,1
logp,8
onEvent,16
$markEvent,16
readUtf8LineStrict,1
$getActivity,4
calcEngagementBenchmark,3
onFailure,30
systemFailure,20
malformedTimelineEvent,13
getFlash_Reassigned,2
$onError,9
$onClick,9
onFlashAction,9
parseKinSpatial,1
parseDecimal,2
setItemStatus,5
onClick,5
handleEvent_ExerciseWork,6
TQe,1
Hcd,3
initObjectList,3
$onSuccess,3
checkForComodification,4
$mayStop,4
isValidRequest_PostQSession,4
onCallbackSync,4
$startSession,27
rVe,2
qQ,2
w3b,1
KEc,1
z7h,1
releaseContext,11
$onFailure,15
tableLookup_exact,3
android_getaddrinfo,4
connectSocket,3
$start,10
read,5
yPe,2
$isCurrentState,3
onTimerExpired,3
anonymous,1
$onButton,6
retrieveMessage,3
Jab,1
setDocString,5
checkActiveExercise,1
getException,4
elf,6
checkEnd,16
lh,2
doPost,1
SSL_do_handshake,1
deleteAssessSuite,13
$getValue,2
onRelease,28
getDefaultPreferences_V_20161001,46
setImage,5
new Taf,1
onSuccess,3
lookupLogonResource,2
newLp,4
onSelected,7
$setVisible,1
doCustomAdfServletRequest,6
checkCriticalType,1
LogonScreen,3
<init>,1
getView,1
fillAddRequest,5
